,1,37,42
164,-640.3682563526095,-648.1056368688622,-668.7753192254481
165,-643.710121266004,-649.4608897755465,-674.0296385469328
166,-645.2885559211351,-649.7181283148325,-674.8789413718655
167,-646.3633125230751,-648.3424390952858,-673.8646937957038
168,-648.1534015560488,-649.1074818525173,-673.772485514171
169,-646.4922985895336,-649.411102990988,-672.7822616973021
170,-651.2861201887948,-648.5099406694454,-676.1377306453257
171,-651.5379111380385,-646.2298966097851,-671.6036587601262
172,-651.5383502064095,-647.5116280287654,-672.2801771587564
173,-651.2458128396589,-645.5158378400789,-674.4282979116817
174,-653.8416551466174,-646.1034159923821,-673.7590160668203
175,-654.0849910364925,-647.8396803732911,-673.7093226008984
176,-660.0809176929151,-651.1215923758314,-676.2539532626245
177,-658.9353020107263,-654.4134919565158,-671.7719433792373
178,-657.6816870466087,-651.2829535584225,-670.4484943780449
179,-657.0004213036035,-655.1809112040902,-670.722776702272
180,-652.8172168708551,-651.2419791330144,-664.222649408742
181,-650.888797800447,-649.3416670697242,-662.536869545018
182,-647.2147936675578,-650.0713266232099,-662.5421542223213
183,-648.0943746684162,-648.644049655192,-664.3244554207027
184,-650.09922587562,-642.4301417008381,-663.3604361676665
185,-650.4876373492638,-645.9486757627956,-661.8115345510431
186,-651.2511799253501,-644.7458778540838,-656.950522954459
187,-651.5360222829785,-639.3488102721673,-657.355090791514
188,-654.1171041621059,-639.2979314239886,-657.0134102454368
189,-652.4763448150404,-635.5940929223825,-655.938477661863
190,-653.5076667591684,-638.3352834383024,-654.1579890722885
191,-654.1554991834304,-634.9988556763733,-650.3211989016255
192,-659.6973319086615,-637.1216829428645,-652.3739034732633
193,-662.3877718219222,-635.312178764002,-654.2133004282213
194,-661.5414047159092,-639.2176602619777,-652.47853447193
195,-657.7669184904368,-636.9285057420744,-650.3413421810549
196,-654.5071272770211,-635.7904939636578,-650.9004812876103
197,-653.0767872776765,-633.8092620148486,-648.0603507938409
198,-654.3766147829224,-634.7030460542061,-647.7000446448897
199,-656.4220542485788,-632.0860359587591,-647.8285321718381
200,-654.7320669355852,-632.7541823334669,-653.4451715490057
201,-654.4423223229089,-630.6979096738337,-652.7860699006576
202,-656.81432310293,-628.6796323255792,-645.1619190807635
203,-656.2174940210394,-627.8822258643952,-645.5503293136895
204,-657.5474192511289,-627.7444474500321,-647.0460341986503
205,-656.7906752680027,-624.8542566794196,-645.7138621575727
206,-657.7493427686491,-624.2380032797478,-646.7630917236403
207,-657.9847275297253,-623.4154518391234,-644.31411688108
208,-655.511261315505,-623.1146984320671,-643.3735269929335
209,-654.0383637365278,-625.141373585817,-643.2395978248364
210,-653.5935580396408,-630.0029303365054,-640.5700910338331
211,-654.2923813969761,-625.770064060773,-640.300707211421
212,-652.7939415717452,-626.6006965973786,-640.7629594271929
213,-654.2002030661656,-624.702791412527,-641.4529798105051
214,-661.1374284882731,-628.5191809811721,-640.9223234147065
215,-662.2136215216373,-627.5782330395433,-639.1274139568825
216,-661.5746115867557,-628.03437288218,-636.9807817518509
217,-659.687057464708,-629.1929291809591,-639.2574761407479
218,-659.8583925473852,-622.7072399306309,-643.0948226266216
219,-660.2531045679889,-622.232947970156,-642.9083182728283
220,-667.3752808547736,-622.8036508786021,-643.9626294245242
221,-666.899360918147,-622.8291069152979,-645.7983387453477
222,-667.4319191991281,-617.6850770445773,-646.4849290112637
223,-666.1305098851298,-615.4194409555232,-647.214882565359
224,-665.1298529258702,-616.6468995455884,-648.6235065606432
225,-664.5328378778479,-617.3543135726251,-646.5641976736371
226,-665.3390174516577,-617.3406017844472,-644.8859199778249
227,-666.2720851540366,-619.1681028626696,-644.6206346536104
228,-669.2725524617936,-619.2627908723709,-642.923669883824
229,-668.6316551373071,-619.588793729023,-646.628409564595
230,-664.4182164531683,-618.2151838667692,-650.0953506100778
231,-662.7684765800547,-615.441609317857,-646.8475629410046
232,-660.7895717216021,-610.388459201223,-648.1480820648712
233,-662.5516181582291,-611.5750433501456,-647.2821439114146
234,-662.9605650720117,-613.7370261869288,-645.7996078733852
235,-666.2131726279055,-613.3579962145425,-645.1641219813607
236,-667.7225390400273,-613.531421768003,-645.6834497879971
237,-667.8520725236336,-613.6652110079033,-649.151181781787
238,-670.2234964314688,-614.3989392798143,-649.838802986713
239,-663.467514035356,-617.1686618293029,-649.1320613850271
240,-662.8643087719743,-615.7021407948937,-646.1303158133952
241,-662.7763029722772,-621.3576831771317,-646.0553438703188
242,-661.1869083036336,-619.5318849132378,-645.6694834513454
243,-659.5890020313066,-618.4900754370773,-646.3798469777029
244,-657.2620023199124,-622.9475481057506,-644.6629700732522
245,-657.7863774577422,-626.0432692649756,-644.8755447276951
246,-653.5236461152081,-625.5246287071287,-647.1548885649137
247,-653.3482960446299,-624.3154764845367,-644.1917655370294
248,-651.7255153338615,-625.6471525774992,-642.2023044612693
249,-653.3840210286818,-628.6546204349672,-642.2446690058567
250,-651.364149786485,-629.3903136531318,-640.9938975730479
251,-652.8174643474897,-631.900651689571,-641.0747956568979
252,-654.8812862984215,-634.292567989492,-639.2140075999655
253,-655.2086467416143,-634.6076879062094,-639.5796474863685
254,-657.2557201705109,-634.1414394028104,-636.1926720806794
255,-651.1985913367449,-632.5022944382378,-630.5612650870606
256,-650.6345841223836,-634.7472098579836,-632.2523098365904
257,-648.3495049022868,-637.7852112411844,-629.6724674778418
258,-647.3360651444818,-639.4308822032514,-627.5068799649009
259,-647.7731644907915,-637.3977939138358,-629.6940517986219
260,-644.3737516192654,-635.8528977752626,-634.4933668174416
261,-645.8287137344803,-636.8310630259897,-631.6480160573387
262,-639.1897987534089,-631.3475491890372,-633.1174168455858
263,-644.2172041462949,-631.3050002770301,-633.2669048153565
264,-646.4973290468741,-632.72745107357,-633.3198017618452
265,-645.7795799021864,-630.841702859612,-630.0730263651444
266,-642.9967949985785,-629.370327983384,-625.3281771497443
267,-641.2895583607155,-629.7897130460074,-623.1889685392927
268,-637.0838631811995,-630.7024409926046,-625.1297594623907
269,-637.7022801718933,-629.4118397696052,-625.3248650308174
270,-635.7624124236813,-631.4613864754596,-625.1540721505614
271,-635.3976734358691,-634.4697978346736,-624.8850906068903
272,-634.0815899756486,-632.1615359338832,-627.0541723248616
273,-633.0052669781683,-630.0297708775316,-622.248974193118
274,-630.3170294728188,-628.4900255457875,-622.5714670596508
275,-628.3256214241907,-627.261086411843,-626.7971427584716
276,-623.8897652436121,-628.4215417064222,-624.4714673942906
277,-623.5571662239203,-626.2145285464359,-632.1373433407681
278,-624.3575041880248,-628.4483347394331,-634.3725605332172
279,-620.1823903722791,-626.388040594416,-632.8951813942689
280,-621.6586119934348,-630.4911272931586,-634.0193606080418
281,-622.548938267403,-630.6712165686611,-634.7553320992262
282,-622.2654349450607,-629.2129593940581,-634.9087989083341
283,-622.4368263813476,-629.6649903421834,-631.119273486237
284,-619.9797931727263,-630.1817522948717,-635.0483749426426
285,-620.5944312478388,-628.2985864396816,-637.7737077062826
286,-621.4434804140352,-624.2371532397515,-639.2476616421275
287,-622.8497968396207,-626.5815995695073,-637.7912227587958
288,-620.691871809321,-624.4944998364273,-640.7278549691669
289,-620.2115199174092,-626.1554422149635,-641.6500303736537
290,-621.1559347734865,-623.1176518732171,-642.1480387924703
291,-624.4467079608421,-632.0568451412519,-639.539686274871
292,-617.0111100157807,-629.5964401887115,-636.0183335715025
293,-616.7853166356819,-631.614074268276,-638.4099009911976
294,-613.533444640405,-629.655666567496,-643.1818414680289
295,-616.3681427296077,-635.6993708316298,-647.4462988233643
296,-621.4357671849176,-637.3264187868281,-644.6502729630087
297,-620.1247915605718,-636.9281572972847,-643.9885982168593
298,-620.7798060689739,-636.4719477776049,-641.5454260355632
299,-618.4129980627886,-638.8582120662879,-644.2650271773896
300,-618.4337780691126,-638.388771252858,-639.1265546620879
301,-621.3316530165189,-637.6736198175702,-640.7655607912184
302,-621.14215174475,-636.4508159253106,-643.9583464476577
303,-622.3942020211479,-635.3939961884356,-645.6507765838079
304,-620.9311532090262,-637.6866467725283,-645.1234603858861
305,-622.3847165183519,-634.6013857617129,-645.6945357611216
306,-622.9852059217675,-633.2199216345616,-643.8715397149537
307,-625.4267442615659,-631.1154815971663,-644.6829897479842
308,-627.4447323473701,-629.9252602508496,-641.1853479003726
309,-626.4629489888106,-626.0594916724958,-642.2557693051499
310,-628.4557353677567,-624.583949084352,-640.7989409830286
311,-631.051283421269,-625.696244695556,-645.7221235328511
312,-632.8793159994569,-624.9264152202759,-645.5584822994269
313,-636.1420715569247,-624.8316988778964,-642.3738419791518
314,-632.9125561796521,-624.5917783985586,-642.9917697811899
315,-631.1232076998435,-627.2483248814358,-646.494297621278
316,-629.7103592834478,-624.7615394604001,-645.1431387914416
317,-633.451020486782,-621.9047334070766,-645.8415853337801
318,-626.6260374880198,-624.4791414251175,-645.2681360072934
319,-625.0088314098641,-627.4803170684551,-647.479897237333
320,-620.2698340493596,-630.0808421811294,-650.3402723911797
321,-621.1378915638264,-629.1559890852197,-652.4149456651076
322,-620.2901567590063,-633.4715149563359,-654.5325972368814
323,-619.6730886606424,-631.8063944671009,-654.4082745682604
324,-624.9621548183262,-630.4340850492665,-657.8119619545255
325,-622.6955034010829,-630.4944926086417,-657.9108931252181
326,-629.2381059694369,-627.2324363571676,-656.5177752759747
327,-629.0294012598368,-628.481027395083,-660.1021864832292
