,1,37,42
187,-109.45,-103.15,-103.1
188,-118.05,-107.65,-106.65
189,-114.55,-116.9,-113.5
190,-114.2,-107.1,-109.25
191,-110.35,-106.65,-112.15
192,-109.5,-103.5,-110.95
193,-110.9,-104.4,-105.4
194,-102.75,-100.65,-105.6
195,-109.55,-99.8,-105.1
196,-116.85,-99.1,-108.1
197,-108.1,-100.7,-101.25
198,-115.65,-123.35,-101.35
199,-121.05,-160.0,-103.65
