,1,37,42
0,-9.669042860778116,-10.761782210382446,-11.103804901950523
1,-14.834521430389065,-15.255322496819412,-14.606725415870702
2,-16.556347620259384,-16.83688166454628,-14.054458533638995
3,-17.41726071519454,-17.627661248409712,-15.337723291739369
4,-17.933808572155634,-18.10212899872777,-16.2701786333915
5,-18.278173810129697,-18.418440832273145,-16.89181552782625
6,-18.52414898011117,-18.644377856234126,-17.335841880993932
7,-18.70863035759728,-18.81383062420486,-17.66886164586969
8,-18.852115873419805,-18.945627221515434,-17.91934598163253
9,-18.966904286077824,-19.05106449936389,-18.096440601735075
10,-19.060822078252567,-19.13733136305808,-17.40298262734389
11,-19.139086905064854,-19.209220416136574,-17.484710123205442
12,-19.205310989290634,-19.2700496148953,-17.67819395988195
13,-19.26207449005559,-19.322188928117065,-17.84403724846181
14,-19.311269524051884,-19.36737633290926,-17.987768098564356
15,-19.354315178798647,-19.406915312102438,-18.113532592404088
16,-19.392296638869315,-19.441802646684646,-18.22450126343914
17,-19.42605793670991,-19.472813610757722,-18.323140082136966
18,-19.456265413725177,-19.500560262823104,-18.411395867287652
19,-19.483452143038917,-19.52553224968195,-18.49082607392327
20,-19.508049660037063,-19.54812595207805,-18.562691498974544
21,-19.53041103912629,-19.568665681529044,-18.62802370356661
22,-19.550827950468623,-19.58741934754952,-18.6876748468898
23,-19.569543452532436,-19.604610208068298,-18.74235506160273
24,-19.586761714431137,-19.62042579974557,-18.79266085913862
25,-19.602655494645326,-19.63502480744766,-18.839096979940983
26,-19.61737195780661,-19.64854240717182,-18.882093388091317
27,-19.631037245027805,-19.661094464058543,-18.922018624230912
28,-19.643760098647537,-19.672780861849628,-18.95919039580916
29,-19.65563476202595,-19.68368816645464,-18.993884049282187
30,-19.66674331808963,-19.693891773988362,-19.026339402531146
31,-19.67715758939933,-19.703457656051228,-19.05676629620205
32,-19.686940692750863,-19.712443787686038,-19.085349135711077
33,-19.696148319434663,-19.720901323342332,-19.112250631719576
34,-19.704829796022242,-19.728875571246835,-19.13761489938473
35,-19.71302896835496,-19.73640680537887,-19.161570041068487
36,-19.720784942183204,-19.743530945774033,-19.1842303102288
37,-19.728132706862592,-19.75028013141156,-19.20569793364383
38,-19.735103663096886,-19.75668320496511,-19.22606465329399
39,-19.74172607151947,-19.762766124840983,-19.245413036961644
40,-19.74802543562875,-19.768552316918033,-19.26381759703575
41,-19.75402483001854,-19.77406297603903,-19.28134574948728
42,-19.759745182808807,-19.77931732543347,-19.29805863903409
43,-19.765205519563153,-19.78433284076453,-19.314011851783313
44,-19.770423174683973,-19.789125444303096,-19.329256032854797
45,-19.775413975234322,-19.793709673774767,-19.34383742344491
46,-19.780192401293164,-19.7980988296519,-19.35779832932906
47,-19.784771726266225,-19.802305104034158,-19.371177530801372
48,-19.78916414001589,-19.806339693747745,-19.38401064241767
49,-19.793380857215574,-19.81021289987279,-19.396330429569318
50,-19.797432212956448,-19.81393421556156,-19.408167087813055
51,-19.801327747322667,-19.817512403723835,-19.419548489970495
52,-19.80507628039205,-19.82095556591773,-19.430500405254072
53,-19.80868597890331,-19.824271203585916,-19.441046694045664
54,-19.81216441565052,-19.827466272611627,-19.451209481426652
55,-19.81551862251391,-19.830547232029282,-19.461009312115465
56,-19.818755137908404,-19.833520087607713,-19.470465289095895
57,-19.821880049323774,-19.836390430924823,-19.479595197904587
58,-19.824899031538628,-19.83916347446847,-19.488415618279085
59,-19.827817381012984,-19.84184408322733,-19.4969420246411
60,-19.830640046898015,-19.84443680317442,-19.504646143295673
61,-19.833371659044822,-19.846945886994188,-19.424581763210398
62,-19.836016553345697,-19.84937531735936,-19.338868077826863
63,-19.83857879469967,-19.85172882802562,-19.349198264110818
64,-19.84106219785814,-19.854009922979074,-19.35921059850911
65,-19.84347034637544,-19.856221893843028,-19.368919528834734
66,-19.84580660986237,-19.858367835725968,-19.378338640344662
67,-19.84807415971734,-19.860450661671173,-19.387480719163122
68,-19.85027598348955,-19.862473115849852,-19.396357810189745
69,-19.85241489801113,-19.864437785623426,-19.404981270044175
70,-19.85449356141942,-19.866347112586475,-19.41336181553651
71,-19.856514484177485,-19.868203402689442,-19.421509568098504
72,-19.858480039188752,-19.870008835529312,-19.429434094562907
73,-19.860392471091608,-19.871765472887024,-19.437144444636385
74,-19.862253904810387,-19.873475266581863,-19.444649185374566
75,-19.8640663534313,-19.875140065705786,-19.451956432935425
76,-19.865831725464663,-19.876761623294023,-19.45907388185834
77,-19.867551831548447,-19.87834160248256,-19.466008832090928
78,-19.86922839064277,-19.87988158219797,-19.472768213963196
79,-19.870863035759736,-19.881383062420497,-19.479358611288653
80,-19.872457319268875,-19.882847469057282,-19.485786282754226
81,-19.874012717814377,-19.88427615845902,-19.49205718174503
82,-19.875530636876857,-19.88567042161012,-19.49817697473605
83,-19.877012415009272,-19.88703148801952,-19.504151058370148
84,-19.87845932777387,-19.88836052933694,-19.5099845753305
85,-19.879872591404407,-19.88965866271674,-19.515682429105723
86,-19.88125336621585,-19.890926953949883,-19.521249297736695
87,-19.88260275978158,-19.89216642038227,-19.52668964662605
88,-19.883921829896394,-19.893378033636402,-19.532007740484183
89,-19.88521158734199,-19.89456272215155,-19.537207654478802
90,-19.886472998470097,-19.89572137355648,-19.542293284649368
91,-19.88770698761716,-19.89685483688739,-19.54726835764231
92,-19.888914439363216,-19.897963924662793,-19.5521364398182
93,-19.890096200646585,-19.899049414825956,-19.556900945777578
94,-19.891253082745042,-19.90011205256463,-19.56156514634834
95,-19.890916072463128,-19.90115255201708,-19.56613217607388
