Episode,Run 1,Run 2,Run 3
398,17,104,32
399,55,54,17
400,51,106,33
401,56,26,35
402,42,130,33
403,89,10,56
404,49,83,30
405,29,70,35
406,82,96,22
407,66,106,44
408,53,48,31
409,48,65,34
410,45,86,35
411,68,68,33
412,55,48,58
413,95,68,84
414,76,83,28
415,46,64,30
416,76,10,31
417,68,73,24
418,33,86,33
419,39,68,26
420,50,39,37
421,73,48,16
422,74,52,41
423,62,68,15
424,69,85,25
425,23,89,15
426,49,114,39
427,109,37,50
428,82,80,42
429,89,88,34
430,53,76,28
431,61,74,40
432,49,90,35
433,41,69,29
434,42,76,43
435,62,66,29
436,43,76,33
437,78,57,20
438,44,96,49
439,87,60,35
440,56,74,41
441,79,85,39
442,55,76,41
443,74,64,43
444,43,66,35
445,56,69,34
446,69,87,21
447,71,78,37
448,52,76,59
449,17,62,29
450,96,72,34
451,60,76,39
452,56,60,37
453,56,70,28
454,29,68,37
455,44,44,36
456,52,77,32
457,95,13,28
458,61,80,28
459,73,55,21
460,78,64,31
461,77,64,37
462,56,107,32
463,41,67,29
464,33,119,36
465,59,10,36
466,50,12,47
467,28,26,28
468,75,100,25
469,36,102,42
470,64,45,24
471,60,72,45
472,62,87,37
473,120,84,18
474,47,50,35
475,77,93,25
476,49,87,22
477,35,80,53
478,69,94,31
479,60,21,38
480,64,10,35
481,41,85,36
482,51,70,36
483,64,106,27
484,71,46,35
485,54,62,37
486,65,104,31
487,52,80,35
488,62,28,35
489,66,93,30
490,94,32,34
491,30,58,35
492,41,42,40
493,33,87,39
494,36,10,18
495,41,73,41
496,53,70,30
497,50,78,16
498,50,113,34
499,51,130,35
500,20,37,29
501,78,72,36
502,44,139,32
503,68,14,34
504,44,88,29
505,39,80,35
506,58,20,41
507,78,96,37
508,91,44,39
509,52,117,17
510,63,74,29
511,73,67,50
512,21,69,18
513,24,90,45
514,53,19,48
515,45,133,50
516,25,68,48
517,68,115,40
518,52,61,152
519,37,144,56
520,36,116,102
521,95,74,36
522,74,66,41
523,62,68,31
524,71,24,49
525,68,89,76
526,67,73,35
527,64,52,25
528,42,46,53
529,68,80,67
530,82,139,38
531,71,104,44
532,31,61,32
533,75,25,47
534,42,26,103
535,52,82,45
536,66,84,37
537,31,82,39
538,70,106,50
539,41,87,32
540,47,11,23
541,66,96,32
542,70,94,34
543,54,67,57
544,40,98,36
545,52,16,41
546,34,21,21
547,58,66,44
548,77,80,63
549,50,35,58
550,60,83,18
551,52,103,36
552,76,10,68
553,117,87,43
554,73,47,45
555,41,78,61
556,67,76,42
557,40,61,45
558,70,99,19
559,22,89,56
560,34,80,35
561,72,69,70
562,38,74,66
563,70,63,35
564,18,13,64
565,96,61,73
