,Seed 1,Seed 37,Seed 42
65,-274.7056197,-238.9606266,-225.6799991
66,-274.0572625,-238.6928536,-228.5658438
67,-271.3725249,-240.5438266,-227.8350694
68,-273.3886832,-239.9886394,-225.9638246
69,-271.9962181,-237.8497841,-228.5403985
70,-271.215448,-237.8914427,-226.7060673
71,-270.4219421,-238.8285175,-224.1690282
72,-271.7342425,-240.7549546,-226.1722529
73,-272.947458,-241.185981,-227.6328795
74,-271.3016171,-243.6251819,-226.285883
75,-268.5553787,-244.2079968,-225.3594728
76,-266.4697767,-242.6070234,-224.2172607
77,-263.5694657,-243.496772,-223.0865495
78,-263.3281462,-243.2466394,-221.5456893
79,-264.6924998,-242.1648787,-224.4200401
80,-264.9281965,-244.558905,-223.9124478
81,-266.4771696,-245.5867954,-225.9470588
82,-265.5818561,-245.782047,-225.1805733
83,-262.5816903,-243.3850078,-224.4765664
84,-265.9136506,-242.897751,-225.9881348
85,-265.0602698,-246.3691713,-224.3323383
86,-264.668432,-249.2895883,-223.4354753
87,-262.5359436,-247.6246017,-221.8197776
88,-261.1255035,-245.3584813,-223.747569
89,-261.57691,-244.8139937,-221.7931478
90,-263.4649299,-245.9309223,-222.1137253
91,-263.2148742,-249.6949483,-220.7363932
92,-261.8296219,-253.2114024,-222.4400033
93,-260.4289075,-256.747532,-224.2258046
94,-259.2118055,-258.3573653,-221.9698233
95,-257.7483013,-259.5287108,-220.972327
96,-256.4610179,-260.7299753,-219.843958
97,-255.2146786,-260.3338645,-218.4373046
98,-253.452524,-257.9208046,-217.8898095
99,-256.6081616,-259.8618182,-217.3213979
100,-253.4122015,-259.1334332,-216.8681629
101,-252.6407576,-261.8264182,-219.5535488
102,-252.4848425,-262.8811326,-221.0909016
103,-252.1726909,-266.914962,-221.9873159
104,-250.9617876,-270.1758287,-225.3004414
105,-253.1820757,-273.2850348,-225.8312509
106,-255.1523025,-274.0137431,-224.9977519
107,-252.3330086,-277.8292548,-228.3105746
108,-254.5392252,-280.4507123,-232.5727414
109,-252.3169645,-283.6230211,-229.5766922
110,-250.3904293,-285.1434659,-233.2281067
111,-247.7782167,-281.6641039,-236.1810792
112,-247.1670711,-285.9369655,-237.0387145
113,-245.6966451,-288.4150018,-239.2378895
114,-241.9867087,-290.8263861,-240.8241332
115,-239.6877237,-290.3021661,-238.1145155
116,-236.7008603,-291.279661,-240.1830962
117,-235.3997326,-289.2012405,-239.8031963
118,-237.9589531,-290.2946615,-243.6917836
119,-235.9442724,-290.5977194,-241.8332336
120,-232.0899864,-293.1592808,-241.5506146
121,-229.9600273,-296.3393529,-239.2113057
122,-228.3923798,-300.4304229,-238.8824592
123,-229.2911128,-304.8270747,-239.0837333
124,-226.7203153,-301.2560666,-239.7948991
125,-224.8631553,-300.0271035,-244.6419105
126,-223.6836595,-299.7171194,-245.2504363
127,-222.0868302,-303.0974727,-245.5887689
128,-218.6425382,-307.1585268,-246.8093624
129,-218.6883505,-308.7328488,-244.5544144
130,-220.4976753,-310.8278453,-244.5993959
131,-219.437063,-313.8771386,-246.2663521
132,-219.4400672,-316.6764163,-245.5709814
133,-215.6940133,-318.7231514,-247.0861698
134,-212.2849416,-317.2004099,-245.2342058
135,-212.4689248,-319.5610662,-242.8260167
136,-214.6866916,-320.8553215,-241.1346103
137,-213.7692375,-322.0745909,-241.3542495
138,-214.7563348,-323.3664285,-239.9410431
139,-214.4198719,-321.7613631,-240.944188
140,-213.712761,-325.3469173,-238.5175109
141,-216.460233,-326.1793984,-236.6615598
142,-213.7619254,-327.0595786,-238.7871542
143,-212.1402469,-329.3194016,-239.2657653
144,-213.4259271,-332.8396493,-236.0442518
145,-213.9281075,-334.2092371,-233.7785853
146,-212.8740819,-337.0480728,-231.1627784
147,-209.0509308,-336.5847504,-230.7286429
148,-208.2990362,-334.261725,-232.0829502
149,-207.9591224,-336.9027748,-228.9849627
150,-208.2686954,-340.1294564,-227.593372
151,-210.4353779,-339.6882178,-227.2554931
152,-207.3395508,-340.6027567,-226.4717271
153,-209.5130187,-338.2486231,-225.1885008
154,-212.6075767,-338.3439989,-226.6827281
155,-211.6269328,-340.3775503,-222.6619547
156,-211.8321048,-340.7232707,-223.5349043
157,-211.1039742,-338.6050777,-219.3326508
158,-211.5817633,-339.8029953,-220.5348926
159,-211.0507548,-336.6254283,-216.3684051
160,-210.3504476,-338.0331547,-217.2363933
161,-212.1739335,-336.5573145,-218.6429342
162,-208.5088573,-338.3875799,-218.1325463
163,-208.7308454,-341.4059579,-220.0475289
164,-209.6172012,-343.2889587,-219.9472175
165,-210.6511005,-342.383242,-218.2614705
166,-208.2952274,-343.8098448,-215.3715182
167,-208.5404377,-342.4874097,-215.0071104
168,-207.6296855,-346.3004835,-219.5260922
169,-209.4981599,-347.4399674,-221.3311916
170,-207.8063277,-350.1735686,-224.6999989
171,-206.7929645,-349.755431,-227.1356961
172,-203.9343637,-351.1640481,-226.9184413
173,-201.1054204,-350.8036927,-226.3218335
174,-203.4180147,-348.5536482,-228.1593723
